,activity,grade,merit,message,time,user
7,112       ,Newbie Offline,0,"[""I think these are proper points to observe. In crypto, there's always reasons for the whole lot. Dont folow crowd or trend due to the fact it can kill you information and investment.""]","July 19, 2018, 05:05:50 PM",Nazir0012
8,83       ,Newbie Offline,0,"['Biggest thing for me is hype, the media love to hype things up so it\x92s best to take everything with a pinch of salt, I\x92m holding all my coins anyway so it doesn\x92t affect me, when the times right for me to sell I\x92ll sell, I won\x92t be dragged into any speculation']","July 19, 2018, 05:27:33 PM",woolm110
9,17       ,Newbie Offline,0,"['\xa0I stopped following any kind of predictions many days ago. Because We every crypto people already have seen lots of prediction goes to the wrong. There is no one who knows the crypto market exactly, It is not possible. No one controls the crypto market. Following the prediction always gives a false hope.']","July 19, 2018, 05:56:55 PM",Makunda890
10,17       ,Newbie Offline,0,['I just refer to those predictions and combine them with my guesses to make the right decision'],"July 19, 2018, 10:45:00 AM",nguyenduc474616@gmail.com
11,210       ,Newbie Offline,0,"[""Prediction is prediction... sometimes prediction is to determine some future outputs but they don't rely on it 100 percent since every time different thing happens...and some prediction\xa0 are just information to confuse people so you have to be careful in believing...""]","July 19, 2018, 01:25:16 PM",tot-o
12,154       ,Newbie Offline,0,"[""If positive predictions you should listen to and refer to if those predictions are out of tabloids or unfounded rumors it's best not to listen to them as it will make you lose faith""]","July 19, 2018, 01:29:29 PM",ChaChaiTL
13,336       ,Member Offline,11,"['prediction does not make us wrong and loss, everyone who invests predict and speculation, if you do not predict your btc people who are not confident, I invest and my btc persuasion will go up drastically and that is my prediction, everyone who invests mengadiksikan either they loss or not it depends on their prediction', '<br/>']","July 19, 2018, 02:06:28 PM",samsul1234
14,212       ,Newbie Offline,0,"['Market prediction can really affect you when you follow it because it may not really so many times so if you follow it, it can make you run at loose ']","July 19, 2018, 02:25:04 PM",lumedeee02
15,392       ,Full Member Offline,100,"['the market can not be made sure because there are ups and downs of everything we buy and we sell a token and sometimes people need money to sell it even at a low price,']","July 19, 2018, 02:54:03 PM",harimauagam
16,308       ,Full Member Offline,100,"[""Predictions are very important in this trading market of cryptocurrencies as it gives idea to traders to manage their funds in a systematic manner. Although speculations done with without any base or research can sometime spread rumors and negativity in the market leading to dumps and panic situations.So don't completely rely on them but just have an idea out of them and do your own research afterwards and then reach any conclusions. ""]","July 19, 2018, 05:00:59 PM",H0USE
17,75       ,Newbie Offline,0,"['The market is always flooded with speculations.These speculations will always cause bitcoin users to predict the future of cryptocurrencies. Whether good or bad, whether there will be huge or low profit,whether to invest at at a particular time or not? I personally do not see anything wrong with predicting the outcome of your own investment. Prediction always gives\xa0 foresight and vision especially when it based on stats from the market.']","July 19, 2018, 05:25:00 PM",Nanashev
18,63       ,Jr. Member Offline,3,"[""Don't fall for the market fud, always do your own research and look at past charts so you know what to do.""]","July 19, 2018, 05:53:22 PM",luckybar
19,154       ,Member Online,17,"['This is true. A lot of false predictions or speculations have actually made people loose some fortunes in cryptocurrency investments, although some could be helpful at times. The best thing to me is to follow your instincts when such predictions come up and pray the decision you have taken is right.']","July 19, 2018, 06:09:07 PM",solkinsolali
0,490       ,Sr. Member Offline,250,"[""This is a speculative market and that is why many believe this prediction especially if it comes from people who are successful in investing. what you need to do is have a prediction about where the market is going, you have to start analyzing so you'll start depending on your own market analysis after reading the charts and considering the news as well. so there is no harm in listening to predictions because it will help you in doing your personal research."", '<br/>']","July 19, 2018, 06:13:33 PM",prikitiw
1,238       ,Member Offline,10        https://eloncity.io/,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg42398542#msg42398542"">Quote from: Mandarava on July 18, 2018, 08:54:25 AM</a></div>', '<div class=""quote"">I think that you hastened to draw such conclusions. The essence of any prediction is to show the existing probability, the forecast is always only a chance. Sometimes it happens that this chance is very high, sometimes the forecasts do not come true. But each for himself decides - whether to believe someone\'s forecast or not.<br/></div>', '<br/>', '<br/>', 'Simply when we listen to forecasts, not even really believing them and not delving into them, subconsciously we remember this information and wait for it to become true (or not). The power of thought is very important. Thoughts are material!']","July 21, 2018, 11:19:22 AM",bitlind
2,56       ,Jr. Member Offline,10,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', 'Very good point. If i have any smerits , i would send them to you. I will make a screenshot and post it on reddit!']","July 21, 2018, 12:12:24 PM",Sema1984
3,504       ,Member Offline,10,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', 'Yes i am agree, most of prediction cannot become real later. Cryptocurrency is hard to predict what lies in the future.', '<br/>', 'Relying from prediction is not a wise move. Your investment may become loss if the prediction wrong.', '<br/>', 'It is recommended to buying coins with your calculation, not prediction.']","July 21, 2018, 02:57:36 PM",AlexAtom
4,392       ,Full Member Offline,100,['The best way is to keep away from current predictions and just keep a watch while major global events which increase or decrease the current market volatality.I have been doing this for the last few years and my patience levels have increased but at the same time we should also be aware of the happenings in the market to keep us updated and not fall prey to any new investments.I would also suggest people good coins to save and preserve them for the future based on the present speculation or the performance\xa0 scope.'],"July 21, 2018, 03:19:18 PM",chidrawarster
5,1204       ,Copper Member,1000        Campaign Management & Translation Services,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', '<br/>', 'Predictions are made on the basis of new features addition to the company so when company develop new feature and update their system the there is 80% chance that the price of product/currency will increase because investor have a look on the market and they know about the market trends. Price Prediction will help you in knowing how many days or weeks you have to hold your coins.']","July 21, 2018, 04:17:00 PM",CoinFoxs
6,63       ,Newbie Offline,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', 'to me as long as cryptocurrency is concern, we have to be predictive, that makes me what i m today, sometimes we have to listen to speculation and assumptions because normally without all this it seems the market or the business is not completed. to me all this characters add to increase the cryptoworld.']","July 21, 2018, 04:39:14 PM",sifonE
7,112       ,Newbie Offline,0,"['Predictions really come true. do your research first. Best project that will change the world in 2018 is Trufield. Check out this token, Trufield token (TRUF). This project is a humanitarian one that will revolutionize healthcare by providing free health data management systems on the blockchain for millions of people. Pre-sale is live and open to all investors so grab your tokens at 25% discount. Buy here at ', '<a class=""ul"" href=""http://trufield.com"">http://trufield.com</a>', ' or ', '<a class=""ul"" href=""http://trufield.io"">http://trufield.io</a>']","July 21, 2018, 05:00:16 PM",TrufieldICO
8,350       ,Full Member Offline,"100        BITDEPOSITARY -  Make ICO's , More Secure","['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg42595131#msg42595131"">Quote from: Generaldiscussion on July 21, 2018, 12:08:13 PM</a></div>', '<div class=""quote"">What you have to do is to forecast your market place. Predictions are very important in this cryptocurrencies trading market because it gives the idea for traders to manage their funds in a systematic manner. Do not rely on them that only have one idea from them. and carry out your own research then and then achieve any conclusio.<br/></div>', 'Pedictions can cause wrong speculations that will affect your thinking on your investments, it will just give you a headache. I suggest that just focus on your investments and dont be deceived by the speculations spreading, just ignore them. And just wait for what will be going to happen on it. Believe when theres a proof.']","July 21, 2018, 05:08:42 PM",Nakakapagpabagabag
9,638       ,Hero Member Offline,501,"[""Stay off from the market is just for newbies who don't clearly know how the market works. Im still risking trading in the bear market because it is still giving a good profit if you are experienced enough to know what will happen next. So i advice that dont stay off the market however study it clearly and have some experience.""]","July 21, 2018, 05:12:08 PM",Palider
10,83       ,Newbie Offline,0,"['Biggest thing for me is hype, the media love to hype things up so it\x92s best to take everything with a pinch of salt, I\x92m holding all my coins anyway so it doesn\x92t affect me, when the times right for me to sell I\x92ll sell, I won\x92t be dragged into any speculation']","July 19, 2018, 06:24:30 PM",woolm110
11,28       ,Newbie Offline,0,['What you have to do is to forecast your market place. Predictions are very important in this cryptocurrencies trading market because it gives the idea for traders to manage their funds in a systematic manner. Do not rely on them that only have one idea from them. and carry out your own research then and then achieve any conclusio.'],"July 21, 2018, 12:08:13 PM",Generaldiscussion
12,560       ,Sr. Member Offline,251        Vena Network,"['Of course that is true but without predcitons you cannot speculate if the price will go up or down and without it investing would not have any sence. For me speculations are right if you could agree with them in some way, than there are some chance that your investments will give you some profits. ']","July 21, 2018, 12:13:22 PM",MuffinMaster
13,252       ,Newbie Offline,0,"[""I do not trust the predictions of other people or any organization, it's just an opinion, I take the time to find out the market, the news""]","July 21, 2018, 02:59:14 PM",trumhacker04
14,322       ,Member Offline,10,"[""I do not entirely agree with the fact that forecasts should be avoided. If you think that the forecast is wrong - you can simply take note of someone's opinion, and do not necessarily follow this forecast. You may have your own opinion that is different from this forecast. I think most people do that. They always have their own opinion on this matter.""]","July 21, 2018, 03:31:06 PM",T o x i c a l
15,104       ,Copper Member,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', 'Prediction is the first step to make a choice in the market, crypto market is very risky and difficult to make predictions. And from that then you have to be careful in determining predictions.']","July 21, 2018, 04:25:56 PM",Tagus45
16,186       ,Member Offline,10,"['Becuase most of the times the predictions are wrong or more than irreal, that is the main reason of why should stop believing in them, they are not safe for most of the wise investors in here. Just take this advice, it will help you out.', '<br/>']","July 21, 2018, 04:41:38 PM",TmottaDing
17,490       ,Full Member Offline,111,"[""Listening predictions about cryptos can turn as bad game for you. The main reason is that almost everyone who is on crypto more than a year count himself as profy and as a person who can make prognoses and give advices. The most of such predictions based on previous years, for example, this year was prognosed the same as crypto behaved the last year, which was totally phenomenal for crypto, but this year is absolutely different and 90% of predictions which were made the last year and at the beginning of the current one didn't come true at all or yet. ""]","July 21, 2018, 05:06:46 PM",greeklogos
18,308       ,Member Offline,10        Lead generation one-stop shop platform powered AI,['Form me the reason why you should stay off from market prediction is it because their is no assurance that it will happened. It will also be the reason why it makes you worry and feel hesitate on your investment. The best way to do is think positive and give your 100% trust.'],"July 21, 2018, 05:10:19 PM",Zeque02
19,35       ,Newbie Offline,0,"['Yeah, as of me, as it stands now, I can predict with accuracy the market movements or price action of Bitcoins within a given time frame. And that makes me feel very comfortable while trading BTC/ether or other special altcoin. ', '<br/>', 'So, hey, market analysis and predictions is indeed what will actually help an investor make right decisions to know when to enter a trade and when to exit for massive profits. Other than that you cannot make any headway or will have nothing to write home about when you are doing something randomly without guaranteed predictions. ', '<img alt=""Smiley"" border=""0"" src=""https://bitcointalk.org/Smileys/default/smiley.gif""/>']","July 21, 2018, 05:23:24 PM",Seth Nyarko
0,140       ,Newbie Offline,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', 'I think the most precise reason why we should stay away from market predictions is, because they will affect you and will make you panic.', '<br/>', 'my suggestion is better for your own prediction.']","July 21, 2018, 05:35:09 PM",BitRentXx
1,78       ,Jr. Member Offline,2,"['Yes your providing tips was so very helpful because most of the time if you are going to predict without enough knowledge you move can be wrong and the process can be wrong and your investment could be loss ,so for me make sure that you have enough knowledge about what you are doing in everytime.']","July 22, 2018, 02:00:58 AM",luigi3
2,28       ,Newbie Offline,0,['Electronic money is hard to predict what lies in the future. Your investment may be lost if you make a false prediction. It is best to stay away from current expectations and keep a watch while big global events increase or decrease the volatility of the current market. I also recommend people good coins to save and preserve them for the future based on current speculation or scope of activity.'],"July 22, 2018, 09:41:39 AM",tobreak007
3,392       ,Full Member Offline,100,"['Because once you are emotionally attached to crypto market prediction made by some experts, you will be emotionally affected too when the market is bleeding. So if you are into hodling your crypto assets, better yet not to see the crypto market everyday.']","July 22, 2018, 10:15:40 AM",Baronggot
4,392       ,Full Member Offline,100        Bountyhive.io,"[""Of course you should not succumb to market forecasts. Usually such forecasts are far from reality and contribute to the loss of money. It is necessary to study the market yourself. Your money is your responsibility. Therefore, it is necessary to study the price movement chart and the properties of any movements of such charts well, so that you yourself can form an opinion on further actions. All people involved in projections of market movements, absolutely indifferent to your money. Therefore, I believe that you can listen to other people's opinions, but in actions always be based on your own opinion and your own strategy. Good luck!"", '<br/>']","July 22, 2018, 06:16:35 PM",online73
5,130       ,Member Offline,10,"['Because predictions are sometimes wrong, and maybe some people is always following them and they lost a lot of money just because of doing it so. The best way to invest, is just to make your own research of that coin, or from bitcoin', '<br/>']","July 22, 2018, 06:23:54 PM",kxp
6,336       ,Full Member Offline,100,"['Such forecasts \xa0constitute ordinary people who can be wrong. Besides, the market is unpredictable. Therefore, always study different opinions, and on their basis make up your own.']","July 22, 2018, 07:05:51 PM",fattyforhire
7,532       ,Sr. Member Offline,250,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41892208#msg41892208"">Quote from: Choyor on July 10, 2018, 09:39:58 AM</a></div>', '<div class=""quote"">Predictions are part of the way we work in investing, without which market predictions will fail, and I am confident and optimistic that the price of all coins will spike in the future, and this is part of the prediction.<br/></div>', 'For me a prediction is only my guide to expect the value of bitcoin, I never think negative thoughts in my investment cause it brings bad luck to me and I am always think positive, the value of bitcoin will continues rise up.']","July 22, 2018, 07:38:52 PM",Baby Dragon
8,350       ,Full Member Offline,100        Paygine,"['Prediction is one thing that goes along side with crypto currency. Prediction makes the fun out off bitcoin/altcoin trading, its more like forecasting due to the studying of market charts by some experts. ']","July 22, 2018, 07:57:57 PM",osasshem
9,28       ,Newbie Offline,0,['We should know thay all these are all speculations. It can just cause panic to the btc users and really should avoid them'],"July 23, 2018, 03:51:18 PM",jessbaker27
10,26       ,Newbie Offline,0,['Your investment may be lost if you make a false prediction. The best way is to stay away from the current predictions and just keep a watch while the big global events increase or decrease the volatility of the current market. Save and preserve them for the future based on current speculation or scope of activity.'],"July 22, 2018, 01:56:26 AM",koreano111
11,74       ,Jr. Member Offline,1,['There are some chances that your investments will bring you some profit. The electronic currency is hard to predict what lies in the future. Your investment may be lost if you make a false prediction.'],"July 22, 2018, 04:59:42 AM",necessaryyou
12,406       ,Full Member Offline,100,"[""Actually I am not away from market predictions. It's just that I need to do my own analysis and prediction before looking at the raw market predictions. I do my own analysis to avoid the actual prediction of just an issue to bring down the market. I have to be smart in reading every prediction so I do not take the wrong steps.""]","July 22, 2018, 09:45:12 AM",Raidal
13,420       ,Full Member Offline,105,"['Fully agree with the author of this topic, predictions in crypto are fully useless and as long as you follow them you are risking loosing your money.', '<br/>', 'Actually predicting anything is a very tricky thing, because someone put their name and reputation on this prediction.', '<br/>', 'Just look back at 2017 and see how many predictions were made about bitcoin, by such organizations as Goldman Sachs, Bank of America and so on.', '<br/>', 'Most of such well respected organizations talked ""trash"" about bitcoin, and what now? they have changed their mind suddenly and all their past predictions were just nothing more as FUD news.', '<br/>', ""Since then i've made a decision not to follow "", '<b>any</b>', "" predictions about bitcoin or any other crypto, even if it will come from Satoshi, i won't trust it and i suggest you do the same."", '<br/>', 'Having your own vision and understanding in crypto of course will bring you way far than listening to any predictions.', '<br/>']","July 22, 2018, 10:51:06 AM",mak2017
14,47       ,Newbie Offline,0,"[""Maybe market is not very predictable thing. It can make you homeless once you predict and invest all you've got.""]","July 22, 2018, 06:22:24 PM",nx24tan180n
15,1056       ,Hero Member Offline,500,"['You are right, I at one time great burned on these forecasts, and now try to have an opinion. But I sometimes still look through different forecasts, but never blindly follow them.']","July 22, 2018, 06:51:51 PM",Sumo
16,280       ,Member Offline,10,"['I think it is impossible to predict 100% how the market will behave. And so trusting the forecasts, you can make a very big mistake.']","July 22, 2018, 07:37:18 PM",bitvelk
17,210       ,Member Offline,18,['predictions are false hope and diversion we should concentrate on personal analysis rather than predictions '],"July 22, 2018, 07:52:33 PM",automaticmoney
18,294       ,Member Offline,16        https://miracletele.com,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg42685200#msg42685200"">Quote from: kxp on July 22, 2018, 06:23:54 PM</a></div>', '<div class=""quote"">Because predictions are sometimes wrong, and maybe some people is always following them and they lost a lot of money just because of doing it so. The best way to invest, is just to make your own research of that coin, or from bitcoin<br/></div>', 'People lose a lot of money not because of forecasts, but because they blindly believe the pseudo expert\'s first finding and invest based on this forecast. There are always people who predict growth and there are those who predict a fall, so you need to objectively approach the analysis of the market before investing. Forecasts of ""experts"" should only be one of the tools of market analysts, and not the only decisive factor, then you will not lose your money.']","July 23, 2018, 02:03:32 PM",niteroy
19,224       ,Newbie Offline,0,"['Prediction is given by big players who trap small investor,So always make your analysis and calculation rather than follow other calls .']","July 23, 2018, 05:04:21 PM",rajkr
0,124       ,Jr. Member Offline,1,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg42745122#msg42745122"">Quote from: rajkr on July 23, 2018, 05:04:21 PM</a></div>', '<div class=""quote"">Prediction is given by big players who trap small investor,So always make your analysis and calculation rather than follow other calls .<br/></div>', ""Oh that's not always the situation. Sometimes the people who do that are analysts that use certain market fundamentals frim the stock markets and apply them to crypto. It's not always that they are manipulators. To me, real market manipulators don't talk much. They work undercover.""]","July 23, 2018, 05:13:37 PM",ghermghuda
1,490       ,Full Member Offline,100,['When investing a self-desire includes a powerful way to earn an income because everyone does not have the ability to qualify a price prediction so to avoid the disappointment of traders may understand the exchange price at any time will facilitate someone to achieve success.'],"July 23, 2018, 07:33:58 PM",pendekar cinta
2,574       ,Sr. Member Offline,250,"['Technology might be able to predict the future to some extent by studying the past, but ultimately, it\x92s the people who take the final decision of buying or selling a coins and when it comes to people, there is a lot more than just logical rationale involved.']","July 23, 2018, 08:26:00 PM",george888055
3,882       ,Hero Member Offline,500        Anonymous bitcoin mixer,"[""That's correct, don't let these predictions dictate you what to do."", '<br/>', '<br/>', ""And that's how I'm deciding before when I can't decide for myself. When I saw people predicting the market, I'm thinking that all of them are correct and never wrong."", '<br/>', '<br/>', ""I'm only considering those predictions that are positive.""]","July 23, 2018, 08:59:10 PM",blockman
4,420       ,Full Member Offline,100,"[""Market prediction is always not true. So we should stay away from that. And there are so many prediction that are coming out and we don't know what is true. ""]","July 23, 2018, 10:57:11 PM",Firefox07
5,304       ,Full Member Offline,100        The OEL Blockchain Ecosystem for Supply Chains,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', 'If you will do a market prediction thren you must have a basis about that prediction because if you just pretend that your thinking would happen then it can result to a bad one.']","July 23, 2018, 11:04:40 PM",assyla
6,420       ,Sr. Member Offline,252,"['so as a trader if there won`t be prediction what should the investors do, how to trade or manage the assets. If you mean stay off from prediction without analysis than it would be ok otherwise analysis and prediction have to be here,']","July 23, 2018, 11:19:31 PM",dragoz11
7,448       ,Sr. Member Offline,250        AGATE - CryptoEconomy 2.0,"['Yes, the prediction is a natural thing. However, it would be nice if we are not easily eaten by speculation made by others. For the future we do not continue to rely on others.']","July 23, 2018, 11:29:04 PM",dimastegar
8,166       ,Newbie Offline,0,['if I have never been afraid or away from the state of the market. because I have no job other than investing in bitcoin therefore I spend all my time to invest in the world of bitcoin gan. to make a profit bit by bit. so that all my daily needs become sufficient ...'],"July 24, 2018, 04:13:21 AM",Nurul_
9,462       ,Full Member Offline,105,"['I agree. Since I have stopped looking out for predictions I am much happier and have peace of mind. ', '<br/>']","July 24, 2018, 04:19:40 AM",libert19
10,350       ,Member Offline,10        Open and Transparent Science Powered By Blockchain,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', 'speculations is the worst and as a good traders we should doing research for information and we do predict it based on information we gather by ourself. Just believe what you think could happen and real. Its indeed hard\xa0 to predict the market and somehow market predictions affecting the market and make so many people bearish or bullish. I do its still good to read about predictions atleast you got the information that might usefull and could help you\xa0 to decide what to do.']","July 23, 2018, 05:36:46 PM",deloreswest
11,98       ,Newbie Offline,0,"['Market predictions are the ""Fuel"" that often drives traders to buy or sell a particular cryptocurrency at a specific period. ', '<br/>', 'And Just like weather forecast, most market prediction has significant influence on traders/investors actions and in-actions. ', '<br/>', 'Although most predictions are turn out to be untrue, some have been identified to make others very rich.', '<br/>', '<br/>', 'As an investor, i am aware that market price of most cryptocurrency are highly manipulated by internal governance of the coin. ', '<br/>', 'I am also aware that the actions of these individuals who manipulate the market prices of most coins are somewhat influenced by the innumerable predictions/speculations in the market. ', '<br/>', '<br/>', 'Hence, i believe that without price predictions/speculations, internal governance may find little or no information to rely\xa0 on to effectively manipulate the price of coins.', '<br/>', '<br/>', 'If you are a serious investor, i advice you consider market predictions regardless the flaws associated with it. It has made many billionaires now. it could be your turn next. But as you so, do well to personally analyze\xa0 the market price of the coin you are interested in before committing to an investment. ']","July 23, 2018, 08:18:16 PM",Vsamuel
12,109       ,Newbie Offline,0,['Relying on prediction for your trades is the worst decision any trader will make. It makes your judgement clouded with people ideas without you not knowing how things ought to be as it is. '],"July 23, 2018, 08:48:36 PM",yadwoa69
13,294       ,Member Offline,10,"['Because not all predictions are true and will truly happen. It is better to do it alone, research how the market flow for sure you will learn something that will help you decide what to do. ']","July 23, 2018, 10:22:06 PM",atetess
14,151       ,Jr. Member Offline,3,"[""You are kind of right in sense of price predictions but don't get its not only about the price, its about project itself, team, what kind of work they are putting in etc etc. As most people care about price and their profit, hence most youtuber try to stay in this topic.""]","July 23, 2018, 10:58:42 PM",Joyeeta
15,724       ,Sr. Member Offline,250,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg42758739#msg42758739"">Quote from: Firefox07 on July 23, 2018, 10:57:11 PM</a></div>', '<div class=""quote"">Market prediction is always not true. So we should stay away from that. And there are so many prediction that are coming out and we don\'t know what is true. <br/></div>', 'Exactly predictions may not true unless it hit the price. We should not always believes on predictions it may false since price is volatile so expects the risks. Believe on the future of bitcoin it can increase at ath this year.']","July 23, 2018, 11:05:43 PM",Gotomoon
16,336       ,Full Member Offline,100,['I will not stay away from those predictions but i will take it as my guide to improve my skills and do a good decision and finally see where did they get those predictions. Research and continue to read and learn is very well needed in trading.\xa0 '],"July 23, 2018, 11:28:57 PM",miyong
17,700       ,Sr. Member Offline,250        GOLDMA - Gold Mining Asset,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', 'There is no accurate prediction in cryptocurrency because the if peoples could predict it, Many peoples would rich already now.', '<br/>', 'Relying to the prediction is not a good action, you must relying to your own research and analysis on the market too.']","July 24, 2018, 04:08:33 AM",SistaFista
